interaction,order,total,robust_hard,conditional_rate,baseline_rate,enrichment
fiveleaf2e AND terminal_min_le2 AND balanced,3,86,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND both_short_le3 AND terminal_min_le2,3,348,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND bridge_le3 AND terminal_min_le2,3,739,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND central_even AND terminal_min_le2,3,541,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND central_odd AND terminal_min_le2,3,508,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND terminal_min_le2,2,1049,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND terminal_min_le2 AND balanced,3,150,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND terminal_min_le2 AND middle_leaf_short,3,228,0,0.0,0.005113999573833369,0.0
fiveleaf3e AND terminal_min_le2 AND unbalanced_ge9,3,289,0,0.0,0.005113999573833369,0.0
terminal_min_le2 AND balanced,2,236,0,0.0,0.005113999573833369,0.0
terminal_min_le2 AND balanced AND middle_leaf_short,3,34,0,0.0,0.005113999573833369,0.0
terminal_min_le2 AND middle_leaf_short,2,228,0,0.0,0.005113999573833369,0.0
terminal_min_le2 AND unbalanced_ge9 AND middle_leaf_short,3,46,0,0.0,0.005113999573833369,0.0
